,"v_1","v_2","v_3","v_4","v_5","v_6","v_7","v_8","v_9","class_id"
thy,-1.1824254362755633,-0.443884370913135,0.7216302704284916,-0.37381140110594124,0.6118131309496844,0.08815301913256424,-0.5026856711794743,-0.8171705042013261,0.34195135468396737,1
evening,-1.2643602997810057,-1.2183595718726639,0.5336459184927544,-0.7337080525099812,0.38288579566769104,0.012430233254142314,-0.572693719481719,-0.8914941308799581,-0.27202632248913694,1
clambered,-0.8670556471568346,-1.066247405610754,0.5005564488421085,-0.9505794948890803,0.5776532926761727,0.11629560187576675,-0.9675748748178624,-0.8797784907476205,-0.6703652226428881,1
She,-1.3116288946480374,-0.4587483514250129,0.663075295898713,-0.4436896624194838,0.8050335441768021,-0.25262198038411465,-0.6458149478306241,-0.9871176875770559,0.1757033563463983,1
salad,-1.4016377872860402,-0.825082682570562,0.33223847528836425,-0.688990072300049,0.72200537450408,-0.10016275970942498,-0.8813417709868845,-1.096219779971127,0.07964805875971519,1
much,-0.978794929913844,-1.2411612384657762,0.13451583163637607,-0.3732044784507853,0.6313560489162088,0.1780166272611065,-1.3060784384686661,-0.9544306647135072,0.06040365781742063,1
before,-0.7964025837418242,-0.6232272507450894,0.9352280735037933,-0.6062925246726261,1.0565059519925348,-0.4918225137286147,-1.4035770874344171,-0.6063796059913451,0.29355134379887854,1
mercy,-1.4009694701679625,-0.9598832722139079,0.46085294966988033,-0.3665632270390015,0.9404055430645608,0.1344026401379102,-0.4955589275302565,-0.9217276420428823,0.15937409294789784,1
out,-0.9161030239938359,-1.3529400156414826,0.5800436687935029,-0.784952923426815,0.511901011837613,0.07502619052567666,-1.208015670923372,-0.3931809355579018,-0.42971077681244996,1
condition,-1.0307097087978665,-1.1784256440652534,1.0738567656738847,-0.7314404801931101,0.6970420233116212,0.21366566108904922,-1.1551317364296947,-1.2969317021305573,-0.25388718539239097,1
treated,-1.115662147178783,-1.3006531730230113,0.37841637375892345,-0.5521716683664802,0.9484479368788177,0.13116663993861302,-0.2319644659802166,-0.7236428301013631,-0.09160760515326703,1
mother,-0.6341184082789355,-0.9921262520067085,-0.04657611182510694,-0.4390748433261119,0.5461695593923229,-0.21730607875860106,-1.0721083295273657,-1.2841060273737375,0.025604013507382655,1
terror,-0.45596462030475066,-1.1992821657946258,0.058746516073895104,-0.7404590560964806,0.6912834006663687,-0.12659961247126403,-1.3126257839702995,-1.1043254665950581,0.2393161033289592,1
appeared,-1.2766702769869704,-0.474558680839573,0.43500677357439627,-0.7139897199070777,0.8784016710331572,-0.24056345752945554,-0.8992259150278483,-0.913408597790553,0.23190989267312473,1
nor,-1.2674806015384403,-1.2376656126683354,0.5575112083746355,-0.4657172664303924,0.2886472056502576,0.32493420225409747,-0.9088135636204709,-0.46426597819152476,-0.21514531797613293,1
placed,-0.49356660740848285,-0.37636378363769435,0.9722136071845023,-0.8115845948473082,1.0929768005888683,-0.06319285066680587,-1.2261283458823329,-0.7932942044714202,0.12879455045705063,1
cried,-0.8057688561941871,-0.9319045519382433,0.9027717342559168,-0.5001233290702058,1.114995140826992,0.11515886595523807,-0.7144314874777591,-1.6398842053543554,-0.08498247589918013,1
magnificent,-0.39775256054340474,-1.0770350685191932,1.1198571299422246,-0.7879254512535956,0.7930870138622049,0.4584154113476653,-0.5121590697868909,-1.0156688512057284,-0.23981241905588624,1
above,-0.7622428610068409,-0.29618566549611725,0.6849265492602884,-0.8231154488473211,0.9558276811672848,-0.32367896498873355,-1.2239690303640032,-0.6377247313341253,0.36127813516769286,1
year,-1.0335202332006304,-0.8686069306676534,0.6855114890949024,-0.6930334938093103,1.0735760355181507,-0.04159127740209137,-0.8772232708136285,-1.5116610980285892,0.10319490585798796,1
through,-0.9033811525881803,-1.2901098674802451,0.42745389315605925,-0.5269795386751577,1.027649831912745,0.07036930224794088,0.00039892258932209504,-0.7123132222646985,-0.03845769417612202,1
went,-0.8631007544046398,-1.320620814296806,0.35926712856150095,-0.41198078283827094,0.9582376573725917,-0.0357926950611771,-0.015956055889750655,-0.6265793310570206,0.025680090096682064,1
charming,-0.7289669352417921,-1.0158237005277744,0.9185991935228603,-0.797792355750323,0.6966763388998899,0.2357786308695502,-0.68177971692129,-1.5787565505475987,0.32188324438811083,1
stood,-1.1310188666508951,-1.005131419065015,0.20349571942526,-0.6545243229488041,0.7843269440249694,0.007454800763947401,-0.7245617399437637,-0.35930168295305426,0.368152685432911,1
braids,-1.0084125074018764,-0.5354934647296289,0.7217418669098734,-0.3845497516629482,0.9135407079705472,-0.13337241907122996,-0.8368949487063068,-1.4587211837284555,0.35913806865367903,1
began,-0.9987614829293766,-1.33293711148557,1.171181224509863,-0.5803791992935646,0.709490987332068,0.23130690161448242,-1.009040990651735,-1.2551979121948342,-0.07069886053907413,1
been,-0.9416352679251779,-1.0285621356842924,1.046651781487462,-0.6580201893107265,0.9227161357470571,0.18987311276722077,-0.9035109084559414,-1.5759060652002996,0.025599327429013937,1
lost,-1.2967575967034426,-0.8886557433175906,0.7406843003484298,-0.624209612157177,0.34871258209043193,0.23568444597675337,-0.7611247966943049,-0.687816383973078,-0.19335335217541727,1
young,-0.373769337634645,-0.8279187193116343,0.7952736449155307,-0.8549718295066822,0.4210200891489058,0.20327543481394303,-0.4444244787210377,-1.3748518665409055,0.27397682896789344,1
Bring,-0.946560266629085,-1.03093510707066,0.42444022727220126,-0.7025374161358312,0.8744800394299056,-0.0019458590277664323,-0.9548849605788924,-1.577000343253923,0.21086798915340693,1
ready,-0.7694393861279345,-1.344240685734181,0.7029265946718859,-0.7178841486758498,0.6704233724781711,-0.16489276013537205,-0.14525709286237545,-0.6689948204453634,0.0029038799166639494,1
until,-0.9466878761932125,-1.0030540502584144,0.6600664735388806,-0.7830584631131869,0.8680838403166927,0.0006725401373443493,-1.306743734983089,-1.021032235010517,-0.5705965615977933,1
Tell,-1.4221405449994975,-0.6670969123292148,0.35481087176558757,-0.559362714941306,0.6680884268709689,-0.08591912694849865,-0.6461694273855731,-0.8118021906436886,0.09576424615281595,1
are,-0.9728435102578946,-0.9047375559847927,0.3059670168532657,-0.41888819438512553,1.25466496173068,0.46248420468361406,-0.5152005206126923,-0.6076198367005599,-0.20605688063126648,1
seized,-0.6413814039408983,-1.2305237525947121,0.18057678621105075,-0.4489226203411889,0.7959072133243411,0.06923124930472607,-0.9653556701233016,-1.3773083541460047,0.3665815447332546,1
scissors,-0.5492149546065187,-0.9288420836013483,0.6905330668694563,-0.8135284993316888,0.39913997568781795,0.25182197599485107,-0.622295663870175,-1.5712481075416447,0.2909012532761813,1
right,-1.2716177712294845,-1.0231875885472097,0.2624426027532102,-0.7497489710632053,0.8222846439724465,0.002650949304457758,-0.9544033451617416,-1.1602586095341227,-0.12715181146649474,1
fastened,-1.0925561140415174,-1.4693963264255359,0.6451351041963881,-0.7682218826701123,0.6183292518915603,-0.045459925518856116,-0.6148995118963625,-0.5864600282045426,-0.28395833075319143,1
venomous,-1.1508317692226988,-1.2393482743353263,0.8181768744218891,-0.7001962671058173,0.7625700116807478,0.44046661560073846,-1.146576993803035,-1.1984913704013473,-0.13821071104755725,1
fetch,-1.3565382733985814,-0.8440061012776325,0.523337613521072,-0.5263327652010836,1.0631201189727135,0.012721265294506765,-0.6061978772822096,-1.0341609920007846,0.09852348449476654,1
cat,-0.9135858163200351,-0.4400301069709422,0.41470609499192046,-0.708383558790033,1.1138754387416143,-0.3699747650748819,-0.6602283033581464,-0.44891108533770174,0.2764582993437218,1
thorns,-0.5656247881206962,-0.3178491219166291,0.6203331218898088,-0.8018414815818243,0.7961884725031284,-0.2501724068055778,-0.9820837138449549,-0.6704207180270286,0.5905446451513252,1
weep,-1.0259032418546394,-0.23624450408841743,0.5371438575753918,-0.4619407709958389,0.8503064140270286,-0.2985193759485909,-0.7881384451410031,-1.1231020091312343,0.43846836733984595,1
given,-0.9352141981264137,-0.5714988875445769,0.7032890731350647,-0.5085395599560464,0.8393036949323794,-0.7313136193082823,-0.8501441532051788,-0.6202683698867552,0.19797114460260382,1
birth,-0.7907591960927288,-1.0069757250940121,0.5980001572644655,-0.5171756868447033,1.0891072626115688,-0.050244225850774996,0.004714591586405367,-0.5848067666810441,0.10616906038119173,1
girl,-1.0248997052022844,-1.2518350187541345,0.8188625590155019,-0.7857287985480087,0.6082984144187495,-0.05976531121256004,-1.0315320209681826,-0.7336725691325172,-0.6259105691631134,1
familiar,-1.1084600535969507,-0.84282814722186,0.9531900447425545,-0.6966506792518689,1.0541406874145443,-0.20704793262323512,-1.1559603154629603,-1.1970468922505286,0.05819618890309123,1
Two,-0.7807456584020073,-1.1379839774106886,1.1414499742515463,-0.7615877682932987,0.7175135219931903,0.06306439263089143,-0.8326365206891478,-1.4909592401141354,-0.018539876297882615,1
tears,-0.33233396389824155,-1.1005897738004728,0.7126672414913482,-0.9466103787349666,0.6195749421584557,0.32358790004535964,-0.9977631313844241,-1.1120285721995309,-0.4195307752740722,1
led,-0.8755192836542725,-1.1353303299219066,0.881141555353623,-0.5994154788328727,0.8569872326954413,0.34337874221868697,-1.133819816338642,-1.3555471763925615,0.40311083208153053,1
once,-0.11606904336555267,-0.5529271304707062,1.0539948735761364,-0.26366107339398837,1.1441810018822043,-0.6004768370839144,-0.4467021785774875,-1.3216829674778878,-0.17052771325313182,2
who,0.17507382843407132,-0.45570422188115234,0.8145139800250922,-0.42878459168660615,1.1231433142133256,-0.2899800859248659,-0.2324567268790047,-0.8554157224853031,-0.18945828145385413,2
wished,-0.6626764394513935,-0.5445824319512255,0.640087593407529,-0.35860952000475227,1.0375634747175442,-0.32687720327914793,-0.0782193013724825,-0.39494397763872985,0.21550174181488327,2
for,-0.20670940995804446,-0.3647432874645185,0.9654788751446075,-0.295964321434268,1.1785847117759078,0.3983664054098707,-0.4530559680668228,-1.2809409155689242,0.2054454984085439,2
child,-0.7045312666071099,-0.1794930740810546,0.23023112392512463,0.03738469138994025,0.9038509331825668,-0.05487584540099259,-0.18781500979846677,-0.7736134059954745,0.12898307410693371,2
of,-0.7735306188367752,-0.4059564584879835,0.17100754089562076,-0.024027091160973218,1.0298333787014788,0.01888749753969343,-0.6130776126021819,-1.4273107543097854,-0.018478111492452275,2
their,0.13113058956816173,-0.49382032324017433,0.842268751597978,-0.2065141584171174,1.2989280059223178,-0.3355874462117089,-0.33751677678024306,-0.9913809790529404,-0.2271800686000797,2
from,-0.41163769164422365,-0.3413211897357971,0.7152210560461781,0.4976108145810817,0.5938148040389668,0.19743471229724505,-0.860468161461668,-1.3733916990567419,-0.014689959958445343,2
beautiful,-0.7137388899402058,-0.2972009014622286,0.42400791300648977,0.19918119772788387,1.0466442662442652,0.024493479533679093,-0.4923916871851512,-1.3008215666302687,0.05032004359884108,2
go,-0.47739431264684506,-0.7964636446067385,1.044770700675054,-0.49872985194835784,1.373138112185352,0.5329829786448603,-0.7218329637081707,-1.2068763306943986,0.14643000752267374,2
world,-0.6968859906738741,-0.3118244325998466,0.8013483328246468,-0.3309170096722461,0.907070176688705,-0.08305421300397928,-0.3248075091108419,-0.3697128930674109,0.3608020546561087,2
day,-0.05263252356377408,-0.3348643681392718,0.8064993611682928,-0.4862456765456702,1.1153198077770858,0.11290602151700761,-0.23193406245343448,-0.8856644684688414,-0.0670707091223369,2
when,-0.2738987144707507,-0.24902584438347125,0.22724823685938364,0.159713097680778,0.7373641661888806,0.03578145777807351,-0.22042860323113123,-0.377200283373045,0.05899952479524808,2
with,-0.6037095437129429,-0.8157509523645263,0.596149026780308,-0.5944742878335905,1.0722579163487862,-0.04732555227460922,-0.10290569734098919,-0.5945656930876393,-0.3442625861801988,2
looked,0.023295202390433676,-0.9343672229585803,1.2631462804901639,-0.4303605101504864,0.7275913311705908,0.10966387961763294,-0.30470958178604596,-0.9622729782233778,-0.3199885462789471,2
so,-0.13956709961299532,-0.13428519250378512,0.4972921334451169,0.021831371273671896,1.0279620343831486,0.17464312383982528,-0.4236507413427368,-0.9611237373411865,-0.21366997327619203,2
eat,-0.02915862174296695,-0.35112589082497103,0.6371188993300695,0.12318754146605111,1.0774649541964922,0.2911445254121137,-0.8300225504705294,-0.8735677360130659,-0.4292718334533153,2
some,0.19181589558058734,-0.11357798532819564,0.7523333896331359,0.2189757833775202,0.8944094161424482,0.08110870545953527,-0.879602808026364,-0.9659874992215178,-0.1500896476685245,2
alarmed,-0.38445405937754273,-0.2098035350275768,0.35568408023912995,0.18944364373775222,0.590105890650984,0.11493064439189622,-0.12492812272308948,-0.6831276767382448,-0.19831366991418506,2
asked,-0.3036927596190653,-0.47692177036657,1.0903675864860112,-0.7766100131423754,1.1708352767205605,0.21477837842761377,-0.8944101734098311,-0.8874046448151569,0.03922822426321945,2
thee,-0.42449035061194124,-0.5470114633055202,0.823416173452731,-0.5956308733686102,1.3019800032015332,0.5672139369772793,-0.7101633752424409,-1.1821879951249132,0.29674489593495196,2
can't,-0.13413400927169133,-0.22063775059686755,0.483282530512295,0.31178094892219876,0.9881309830834248,-0.13533394374189167,-0.42070162207746864,-1.025933186102765,-0.20639486964439585,2
shall,-0.41626842464076186,-0.43274460193083764,1.1039427720754225,-0.6810450557579284,0.8593040104267141,0.15805878231352907,-0.48118188244095456,-1.3446401194097974,0.42074618147876,2
bring,0.10135020029265672,-0.47610497371290095,0.78210401162833,-0.1845413593437592,1.2545072630111067,-0.3723427417717947,-0.27680215884695764,-0.9980384599158928,-0.2906024823974573,2
twilight,-0.3623935602735494,-1.0326776567206695,1.0671245529976157,-0.08600558366300923,1.3307533510362548,0.5183082182966697,-1.0045069009172083,-0.7981722805754997,-0.3472173103357161,2
herself,-0.20663061214873232,-0.18171355475818357,0.6730568907055483,0.13709103445609916,0.6842141807758002,-0.15596509750393253,-0.12147436213322312,-0.8104093863620868,-0.3048099417088593,2
relish,-0.1877273124931574,-0.08494481861971555,0.8271076589572427,-0.030865451294963816,1.0168149721392663,0.37363053548178327,-0.6893566025233026,-1.1226041898762673,-0.08935738220407077,2
liked,-0.14180664979096963,-0.4953530133025701,0.6892125630492003,-0.19839443554086206,1.3199063595489513,0.011750074647335039,-0.15694094968206573,-0.6607925642590083,-0.3298631082547104,2
times,-0.5681823652854646,-0.44565359201979016,0.6385150105982687,0.054070445170073665,1.1420176557942463,0.51299634460606,-0.5224487764239992,-1.3281470048339385,0.04045834045488515,2
descend,-0.29342878062487693,-0.3778651876251038,0.6123070966788552,-0.21484361790397621,0.9188006468769002,-0.19185658650044846,0.11221752936923224,-0.4544280445569776,0.15581100316301752,2
dare,-0.6140734207820251,-0.23558773104038142,0.3508572225258406,-0.5666720487350393,0.9532882934575756,-0.40406422328272684,-0.5436084525262607,-0.5785627737122784,0.48444307050317986,2
shalt,-0.41531538701131426,-0.4039383774827582,1.0161968825763792,-0.7408374182190501,0.730194394148543,-0.1174698434114905,-0.38554174570617006,-1.1241385585434331,0.4107522281576823,2
take,-0.03193354910024016,-0.7585506832379604,1.3632253964803644,-0.5120133626125893,0.4509247833075759,0.148720103591576,-0.646720983303935,-1.1772991853808283,-0.11761132141385233,2
up,-0.2851843928398877,-0.82107705200308,1.0227553173203598,-0.44179493113111806,1.0510653564212171,-0.2307668408091507,-0.22381201251107286,-1.47140297425333,-0.0747532376075182,2
felt,-0.627359976258944,-0.7903231587249778,0.34623142178651245,0.06621041265022666,1.3107822182743376,0.2513446873269591,-0.6485413157557285,-1.378770379915073,-0.29595545543686064,2
world;,-0.6648823895929626,-0.7362913078404514,0.48766402223723104,-0.2522801371749489,1.2876331873842564,0.23952410306700803,-0.09717005759291754,-0.6611683178526967,-0.24210577745389378,2
care,-0.5746746120546268,-0.7073866082921678,0.2657771307671786,0.12062932217985012,1.3273352463394426,0.44722904579173084,-0.6353157974900078,-1.058717940424441,-0.23504252841885087,2
brought,-0.3021832067602997,-0.3631920748383285,0.887546573880534,-0.655517585155325,1.3507801324218969,0.13770072481010862,-1.1340522355804648,-0.6287844767451695,-0.055297808516426454,2
tower,-0.5051819647513908,-0.741627080102524,1.0370845707244996,0.205937908157545,1.1417194885033264,0.48002151601352006,-0.7541250148519065,-0.43640936252015305,-0.3277455836667456,2
stairs,-0.5964106092559934,-0.5088322230881518,0.39804480613493537,-0.03953466804687133,1.1483652057671576,0.6308331506363711,-0.41921688594507456,-0.947147553237623,-0.19496635098694975,2
fine,-0.3432072479490083,-0.15389304682243807,0.36780215436797953,0.18880626810077342,0.807563769190614,-0.021935542966655237,-0.10173011569820711,-0.5598200259978208,0.011576739530634041,2
unfastened,-0.8597042239338967,-0.5945764302499988,0.177059742333022,-0.16057989487332947,1.2357654860289642,0.3887573081263369,-0.4529558915011185,-0.6297129900122493,0.046698717162189145,2
rode,-0.3628766906961923,-0.1857674334725398,0.5436286898134,-0.4716778479216988,0.9281531679997271,-0.2601611456373779,-0.5733182598250263,-0.9882324184135429,0.581208463960269,2
letting,-0.6311825797379589,-0.614350266833969,0.1298839761710248,-0.05056035358573428,1.3356576817689867,0.2848834973215893,-0.7096293570215702,-1.2708259355452929,-0.2993796705598716,2
He,-0.5199798451245452,-0.9846819315305675,0.7321979029461623,-0.2796645441959916,1.1866386764457368,0.23632259124371555,-0.11196952349653642,-0.9745253203949071,-0.13500870045185642,2
how,-0.5902705466370309,-0.7183743129352621,0.5840737663783913,-0.23018172420629318,1.4573275072931957,0.6125645888193245,-0.5573058603149594,-1.05433968473335,-0.12269389238321084,2
Immediately,-0.26711813849325844,-0.16647991894896075,0.7151193672226808,0.24506181601421528,0.5072101278461555,0.4123547348800244,-0.585634646294407,-0.894238429162955,0.05651047613649401,2
first,-0.06251429272894078,-0.6212687762612769,1.124822587177122,-0.1591801688137404,0.8636120213026129,-0.5239544565071527,-0.28281230553918657,-1.1654262103814008,-0.22184488121183996,2
laid,-0.623405464945815,-0.7229340734637648,0.2844098005965715,-0.09323548817998277,1.1075280889282217,0.697441946115099,-0.8075021405246076,-1.1596131939337675,-0.24960927203868907,2
comest,-0.6224059705990184,-0.7404591552320741,0.42927081524706795,-0.18831179216634436,1.491979622282046,0.3153524915318066,-0.6878774930771675,-1.2713952374194524,-0.40505576308449226,2
They,-0.8244663113761896,-0.44636161850231215,0.29265851209095683,0.11860447807144756,1.0169048534856615,0.07978209482018234,-0.541931781832376,-1.4305776862540798,0.07077909256170996,2
come,-0.4560141687427465,-0.4191577098854826,0.9802332642386496,-0.36286535184909224,1.1302345153944768,0.300347644655634,-0.5011602075222069,-1.3880310288501967,0.4167986182582877,2
draw,-0.36459820455234254,-0.6540232467727277,1.0599445283374496,-0.5016134079853383,1.3741570788003463,0.28334700442299077,-0.6287150074209934,-1.3250782921032782,0.15002965519040945,2
wrapped,-0.08522181583989383,-0.47473657401868147,0.9387233868917825,-0.06724078777349908,1.1172821156848909,-0.6395470917827901,-0.45083232209878493,-1.101781814407588,-0.3117881132986503,2
left,-0.6226244728096532,-0.32324593184370254,0.6238768533748992,-0.1865853587379216,0.9100496430510121,-0.23319513282216742,-0.09916899165855002,-0.4516799647275641,0.37361787015763176,2
pair,-0.33046610407203775,-0.7195514591150695,0.7045021018501032,0.5582956469972784,0.8052078997840024,0.16487135856484184,-0.8686452857973574,-1.4238849097125998,0.1091946055121076,2
cut,-0.371866356985472,-0.4866342767199741,0.9739915982980835,-0.5793193094161972,1.327746593222122,0.42477497689548044,-0.655881755798174,-1.1567109140792633,0.31705128641711444,2
off,-0.23500727401795243,-0.8786487301928079,0.753878474534478,0.17996027810177426,0.6133460745635543,0.6424721892649702,-0.6815925168038981,-1.3903846517845704,0.14520023414175315,2
where,-0.16855403922929593,-0.6253138723185758,1.0981880259546901,-0.21486988309462834,1.0692147722812333,0.40776239043535045,-0.48081991228687815,-1.2881430226777577,-0.15836575310485954,2
misery,-0.050745219244212436,-0.19419282628217321,0.7296257253573986,0.537704322205559,0.6705119670698353,0.019747485268903867,-0.8109254909171132,-1.146023782712485,-0.12467840852492733,2
On,-0.3281746552512138,-0.30384786561498733,0.707417037928998,0.21180648164489232,0.9889954971858618,-0.2251008278984391,-0.030604841748253044,-0.5830873048553371,-0.1249939752468107,2
mockingly,-0.3824262885115644,-1.0894128225985273,1.1959457508915996,-0.20115276567690563,1.3666917380719263,0.2516807300639632,-0.7471151730894374,-0.7003007940859424,-0.16985421607172047,2
has,-0.3946148514165126,-0.3845794331670552,0.9967188692209983,-0.4501891796617427,0.7949309074350681,0.07573959531081022,-0.2923945566402713,-1.1246370038900733,0.5447458965541566,2
scratch,-0.924932556540584,-0.48856210815196116,0.17089739599636528,-0.21074896736439538,1.0044271905303086,0.14461841440643922,-0.2907379905863594,-0.6415091235883761,0.34241916759912905,2
leapt,0.031138406709409146,-0.5613947251738631,0.9918312867971824,0.026201728182818584,1.3313249855729168,-0.2863822668807832,-0.6744982145497167,-0.3985216909571695,-0.052869668615431076,2
blind,-0.7491772602927036,-0.7281721882214122,0.24871298318978552,-0.2342932200310705,1.3761446725908282,0.5469441586513821,-0.756857092344243,-1.0510493680422603,-0.1511129966873972,2
berries,-0.11595011618197795,-0.6021722929698943,0.7451196266467319,-0.3002308222631415,1.1499783569718065,0.08138498116512982,-0.6819085384346314,-1.3879164514718414,0.4444045312335657,2
lament,-0.5532159026658974,-0.9755234281919593,0.9864688603636353,-0.22335957693190878,1.0597231917973442,0.7663932265354751,-0.8420968004385226,-1.2904073477858236,0.07084335900641693,2
twins,-0.37120176573878816,-0.2403865026920217,0.573878938079173,0.43546355687014277,0.7051417720856258,0.177176350413322,-0.573533465861284,-1.3080433654842931,-0.020639598117246902,2
boy,-0.5507151743914582,-0.5961046329334544,0.4969955603433565,-0.149075889928422,1.165281214041226,-0.30910524463486466,-0.06988118012514405,-0.38675650064482525,-0.004704294507876213,2
approached,-0.6695806237911411,-0.47569747312922445,0.922424828855111,-0.21116288291987056,1.0802820049426571,0.3460330685532868,-0.472336787762618,-1.159829857062179,0.5428025063546981,2
wetted,-0.28295141401767443,-0.4564063977418804,0.7568666469812618,-0.2699811193772872,0.9040335251809418,-0.032393945849111774,0.13894936067877628,-0.5107336412862422,0.1742473058054936,2
There,0.42855681095644915,-0.6650689127657914,1.1141135739761434,-0.18519711220501714,0.4360002320045568,-0.6407732262226395,-0.7151993306236291,-0.8522099172029286,0.1397187636679748,3
man,-0.27880271152463737,-0.4953562496379068,0.4080311369533636,-0.32198159643439667,0.4197853765479286,-0.7158422936277484,-0.8935472594132481,-0.3280805167197481,0.6343407649742308,3
These,0.3524673572472277,-0.5456399633936801,0.7959002657613876,-0.12161604886422056,0.024697810481470184,-0.48806347002219574,-1.2659962503543472,-0.6453371144009132,0.30992785904374365,3
be,-0.17257280804729652,-0.38117684679895925,0.39235821328170095,-0.32297359483968024,0.3977889184997607,-0.7870840341745979,-0.7857686383523408,-0.4790357858178827,0.6081307219953005,3
however,-0.08414285903999864,-0.7452555235292345,0.9101991162562075,-0.3569790062104392,-0.25432200698142715,0.06830640965246103,-0.38025383758713094,-0.6423975778244744,0.1393283206210062,3
dared,-0.08888785743869451,-0.24895085675125575,0.5138365793674768,-0.2164999127661896,0.13956928819484882,-0.7167023914674598,-0.9198185468254085,-0.6746687056097554,0.4495023223972302,3
because,-0.2858682686488136,-0.787767489233579,0.2850333448503416,-0.08212018823009157,0.0015002795599922576,-0.24255585085251025,-0.5234342051022448,-0.5464102620155931,-0.3988685193156865,3
enchantress,0.35805697792799135,-0.5894385416374436,1.1576410183957273,-0.031992763444995735,0.5938673710331396,-0.28830710003695764,-0.6672622296577667,-1.0274826211667643,-0.17903264603594132,3
this,0.10782987321099766,-0.8872305476295672,0.4076383652876166,0.23681215111737905,0.5895291683175449,-0.24505198033603592,-0.44047437703611053,-0.3359022991140612,0.4197710811403648,3
fresh,0.06199596004339033,-0.7987010218869606,0.42073769145194345,0.0877469782817682,0.580868050205801,-0.3118108662189922,-0.28238670565131074,-0.143194416487778,0.3132925528980182,3
green,-0.15188422173042795,-0.5986508161091681,0.7490911991109181,-0.37356274491317065,0.37567688144683065,-0.8863552485734437,-0.8576965512439486,-0.68432818641391,0.22789031755113698,3
not,-0.008665322906903828,-0.6960689936485879,0.142689028676635,-0.24552079478089364,0.3919754880825051,-0.055485695512881406,-0.14127633594386654,-0.11261024393332841,0.1444276954963844,3
quite,-0.18753004307824875,-0.7611898076151173,0.9191138615370221,-0.3284206422745813,-0.34945097903973404,-0.026603217377122467,-0.4133859638853624,-0.8471455019519739,0.03479173721132457,3
What,-0.465860913013166,-0.12352626909332898,0.6153270669245503,-0.4580141966832667,0.3441289811652644,-0.630273855647209,-0.6704521315134098,-0.8074602411636612,0.4170680679788398,3
aileth,0.23097270797918878,-0.5538840189374082,0.3569125815497963,-0.5805344522720456,0.7844014688132044,-0.13298201952996835,-0.3999960065547617,-0.6548591969113,-0.28744449326376664,3
behind,-0.06768006593013774,-0.5806213864057509,0.5165332774677448,-0.607367991986093,0.4660391696075712,-0.45618657148321995,-0.24032969029076157,-0.3007705040467298,0.34522489095781067,3
